Lexus LX/$ 24 500/"https://im.mashina.kg/tachka/images//1/7/8/178622c29a42cc194a28fe03dededac0_240x180.jpg"/2006 г., 4.7л., автоматвнедорожник 5 дв., бензинруль слева
Lexus GX/$ 34 800/"https://im.mashina.kg/tachka/images//0/4/1/041625ddc5c0abd53ed501b2e62ae17a_240x180.jpg"/2010 г., 4.6л., автоматвнедорожник 5 дв., бензинруль слева, 290 000 км
Lexus ES/$ 45 300/"https://im.mashina.kg/tachka/images//8/3/5/835e8daf3c16fdbc10a6c330007228ad_240x180.jpg"/2019 г., 2.5л., вариаторседан, гибридруль слева, 61 000 км
Volkswagen Multivan/$ 12 200/"https://im.mashina.kg/tachka/images//4/f/c/4fc192862229df7d46961b870061d962_240x180.jpg"/2006 г., 2.5л., механикаминивэн, дизельруль слева
Toyota Camry/$ 29 900/"https://im.mashina.kg/tachka/images//9/8/b/98bc25c35fb4e13c0c650545e417861b_240x180.jpg"/2020 г., 2.5л., вариаторседан, гибридруль слева, 50 000 км
Hyundai Sonata/$ 15 500/"https://im.mashina.kg/tachka/images//8/1/d/81d59cb147de3a749c800b4a4d6bafd0_240x180.jpg"/2017 г., автоматседан, газруль слева, 144 000 км
Jaguar XF/$ 19 800/"https://im.mashina.kg/tachka/images//2/7/2/27215cff1d9afaa1280315355fb87aa4_240x180.jpg"/2013 г., 2л., автоматседан, бензинруль слева, 150 000 км
Toyota Camry/$ 31 000/"https://im.mashina.kg/tachka/images//d/f/e/dfe43d0fe97e40334e9b2b73181977dd_240x180.jpg"/2018 г., 2.5л., автоматседан, бензинруль слева, 68 000 км
Toyota Camry/$ 11 000/"https://im.mashina.kg/tachka/images//f/f/b/ffb1e5b8922fdfe4b97d08367399ceec_240x180.jpg"/2011 г., 2.4л., автоматседан, бензинруль слева, 200 000 км
Toyota RAV4/$ 33 500/"https://im.mashina.kg/tachka/images//1/2/6/126c9a598767bffdef42d39626de3ca4_240x180.jpg"/2019 г., 2.5л., автоматвнедорожник 5 дв., бензинруль слева, 60 000 км
Tesla Model S/$ 45 000/"https://im.mashina.kg/tachka/images//a/3/8/a3895ef993f571eb647052ea3c60c9a7_240x180.jpg"/2014 г., автоматлифтбек, электроруль слева, 40 000 км
BMW X5/$ 11 300/"https://im.mashina.kg/tachka/images//f/1/a/f1a06e7ea216bfa7be7a5b61f7c5b64a_240x180.jpg"/2003 г., 3л., автоматвнедорожник 5 дв., бензинруль слева
Toyota Avensis/$ 7 300/"https://im.mashina.kg/tachka/images//f/0/6/f06d719019025c1ab5e10813dd09737e_240x180.jpg"/2003 г., 2л., механикаседан, бензинруль слева, 273 000 км
Toyota Camry/$ 23 500/"https://im.mashina.kg/tachka/images//2/7/1/2711737d958e1756276bccd19fb19779_240x180.jpg"/2017 г., 2.5л., автоматседан, бензинруль слева, 37 000 км
Toyota Prius/$ 10 800/"https://im.mashina.kg/tachka/images//4/5/f/45f4ef00d0c7486aad96e44d6bfb15dc_240x180.jpg"/2011 г., 1.8л., автоматхэтчбек 5 дв., гибридруль слева, 134 568 км
Toyota Avalon/$ 39 999/"https://im.mashina.kg/tachka/images//f/0/9/f0915a662f18e7c73f75c03513f8d1d1_240x180.jpg"/2019 г., 2.5л., вариаторседан, гибридруль слева, 65 000 км
Mercedes-Benz M-класс/$ 35 000/"https://im.mashina.kg/tachka/images//3/1/e/31e02516f81fe4435b731d71ada10a37_240x180.jpg"/2015 г., 3л., автоматвнедорожник 5 дв., дизельруль слева, 148 000 км
Toyota Avalon/$ 49 999/"https://im.mashina.kg/tachka/images//e/e/0/ee0adbbb786e4354b70d626335b0c849_240x180.jpg"/2022 г., 2.5л., вариаторседан, гибридруль слева, 1 000 км
Kia Sorento/$ 27 000/"https://im.mashina.kg/tachka/images//7/6/6/7660f98914132145cf44b4981d622476_240x180.jpg"/2017 г., 2л., автоматвнедорожник 5 дв., дизельруль слева, 130 000 км
Toyota Camry/$ 19 200/"https://im.mashina.kg/tachka/images//4/c/2/4c232824c53c6f66b21cfbcb5932bcf1_240x180.jpg"/2014 г., 2.5л., автоматседан, бензинруль слева, 133 450 км
